source,dest
https://experienceleague.adobe.com/docs/audience-manager/user-guide/overview/data-security-and-privacy/data-security-privacy-overview.html,https://experienceleague.adobe.com/docs/audience-manager/user-guide/overview/data-privacy/data-privacy.html
https://experienceleague.adobe.com/docs/audience-manager/user-guide/overview/data-security-and-privacy/data-security.html,https://experienceleague.adobe.com/docs/audience-manager/user-guide/overview/data-security.html
https://experienceleague.adobe.com/docs/audience-manager/user-guide/overview/data-security-and-privacy/data-privacy.html,https://experienceleague.adobe.com/docs/audience-manager/user-guide/overview/data-privacy/data-privacy.html
https://experienceleague.adobe.com/docs/audience-manager/user-guide/overview/data-security-and-privacy/opt-out-management.html,https://experienceleague.adobe.com/docs/audience-manager/user-guide/overview/data-privacy/data-privacy-requests.html#opt-out-requests
https://experienceleague.adobe.com/docs/audience-manager/user-guide/overview/gdpr/aam-gdpr-details.html,https://experienceleague.adobe.com/docs/audience-manager/user-guide/overview/data-privacy/data-privacy-requests.html
https://experienceleague.adobe.com/docs/audience-manager/user-guide/overview/gdpr/aam-gdpr-partners.html,https://experienceleague.adobe.com/docs/audience-manager/user-guide/overview/data-privacy/data-privacy-reference/aam-gdpr-partners.html
https://experienceleague.adobe.com/docs/audience-manager/user-guide/overview/gdpr/aam-gdpr-faq.html,https://experienceleague.adobe.com/docs/audience-manager/user-guide/overview/data-privacy/data-privacy-reference/aam-gdpr-glossary.html
https://experienceleague.adobe.com/docs/audience-manager/user-guide/overview/gdpr/aam-iab-plugin.html,https://experienceleague.adobe.com/docs/audience-manager/user-guide/overview/data-privacy/consent-management/aam-iab-plugin.html
https://experienceleague.adobe.com/docs/audience-manager/user-guide/features/algorithmic-models/understanding-models.html?lang=en#models-summary-view,https://experienceleague.adobe.com/docs/audience-manager/user-guide/features/algorithmic-models/look-alike-modeling/understanding-models.html?lang=en#models-summary-view
https://experienceleague.adobe.com/docs/audience-manager/user-guide/features/algorithmic-models/understanding-models.html?lang=en#understanding-traitweight,https://experienceleague.adobe.com/docs/audience-manager/user-guide/features/algorithmic-models/look-alike-modeling/understanding-models.html?lang=en#understanding-traitweight
https://experienceleague.adobe.com/docs/audience-manager/user-guide/implementation-integration-guides/integration-other-applications/aam-target-integration.html,https://experienceleague.adobe.com/docs/audience-manager/user-guide/implementation-integration-guides/integration-other-solutions/aam-target-integration.html